NaN;NaN;NaN;0.625;0.592;NaN;NaN;0.548;0.54;NaN
NaN;NaN;NaN;NaN;NaN;0.5;NaN;NaN;NaN;NaN
NaN;NaN;NaN;0.375;0.408;NaN;NaN;0.452;0.46;NaN
NaN;NaN;NaN;NaN;NaN;0.36;NaN;NaN;NaN;NaN
NaN;NaN;NaN;0.167;0.242;NaN;NaN;0.36;0.381;NaN
NaN;NaN;NaN;NaN;NaN;0.235;NaN;NaN;NaN;NaN
NaN;NaN;NaN;0.042;0.117;NaN;NaN;0.274;0.306;NaN
NaN;NaN;NaN;NaN;NaN;0.136;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;0.042;NaN;NaN;0.199;0.238;NaN
NaN;NaN;NaN;NaN;NaN;0.068;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;0.0083;NaN;NaN;0.138;0.179;NaN
NaN;NaN;NaN;NaN;NaN;0.028;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.089;0.13;NaN
NaN;NaN;NaN;NaN;NaN;0.0083;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.054;0.09;NaN
NaN;NaN;NaN;NaN;NaN;0.0014;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.031;0.06;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.016;0.038;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.0071;0.022;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.0028;0.012;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.00087;0.0063;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.00019;0.0029;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.50E-05;0.0012;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.00043;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.00012;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.50E-05;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2.80E-06;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
